doctor_name,medical_specialty,phone_number,email,hospital_name,hospital_state,password
Gregory Ramirez,Orthopedic,(301) 555-0205,gregory.ramirez@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Julie Young,Nephrology,(301) 555-8998,julie.young@hospital.com,University of Maryland Medical Center,Maryland,abcd
Sandra Ramirez,Cardiovascular / Pulmonary,(240) 555-5845,sandra.ramirez@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Michael Adams,Radiology,(703) 555-9287,michael.adams@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Emma Anderson,Consult - History and Phy.,(301) 555-6715,emma.anderson@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Mark Hill,Cardiovascular / Pulmonary,(703) 555-0515,mark.hill@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Julie Moore,Neurology,(240) 555-2444,julie.moore@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Gregory Roberts,Pain Management,(301) 555-2533,gregory.roberts@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Christopher Roberts,Radiology,(301) 555-2833,christopher.roberts@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Charles Jones,Podiatry,(571) 555-2829,charles.jones@hospital.com,University of Maryland Medical Center,Maryland,abcd
Anthony Walker,Cardiovascular / Pulmonary,(301) 555-7278,anthony.walker@hospital.com,Children's National Hospital,Washington D.C.,abcd
Mary Phillips,Discharge Summary,(571) 555-6842,mary.phillips@hospital.com,Virginia Hospital Center,Virginia,abcd
Rachel Taylor,Consult - History and Phy.,(571) 555-7626,rachel.taylor@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Karen Walker,Surgery,(703) 555-7671,karen.walker@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Maria Young,Consult - History and Phy.,(240) 555-1977,maria.young@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Brian Campbell,Surgery,(571) 555-7538,brian.campbell@hospital.com,Howard University Hospital,Washington D.C.,abcd
Nancy Scott,Surgery,(202) 555-0693,nancy.scott@hospital.com,Howard University Hospital,Washington D.C.,abcd
George Ramirez,Surgery,(301) 555-8805,george.ramirez@hospital.com,Children's National Hospital,Washington D.C.,abcd
Daniel Moore,Surgery,(571) 555-6330,daniel.moore@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Mark Adams,Radiology,(202) 555-5377,mark.adams@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Janet Davis,ENT - Otolaryngology,(301) 555-9021,janet.davis@hospital.com,Virginia Hospital Center,Virginia,abcd
Emma Hall,Cosmetic / Plastic Surgery,(571) 555-1806,emma.hall@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Mary Brown,Psychiatry / Psychology,(301) 555-0215,mary.brown@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Julie Wright,General Medicine,(301) 555-5143,julie.wright@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Daniel Jackson,Ophthalmology,(301) 555-1322,daniel.jackson@hospital.com,Children's National Hospital,Washington D.C.,abcd
Kenneth Wilson,Surgery,(703) 555-1830,kenneth.wilson@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Ruth Wright,Radiology,(703) 555-8068,ruth.wright@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Paul Robinson,Radiology,(703) 555-7554,paul.robinson@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Robert Hernandez,Gastroenterology,(571) 555-4830,robert.hernandez@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Helen Turner,Gastroenterology,(703) 555-5900,helen.turner@hospital.com,Virginia Hospital Center,Virginia,abcd
Patricia Baker,Radiology,(301) 555-4480,patricia.baker@hospital.com,Inova Fairfax Hospital,Virginia,abcd
John Allen,Surgery,(301) 555-0205,john.allen@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Lisa White,Discharge Summary,(571) 555-6966,lisa.white@hospital.com,University of Maryland Medical Center,Maryland,abcd
Paul Hernandez,SOAP / Chart / Progress Notes,(703) 555-1759,paul.hernandez@hospital.com,University of Maryland Medical Center,Maryland,abcd
Ruth Martin,SOAP / Chart / Progress Notes,(202) 555-0384,ruth.martin@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Matthew Perez,Surgery,(703) 555-0690,matthew.perez@hospital.com,Children's National Hospital,Washington D.C.,abcd
Diane White,Ophthalmology,(240) 555-2974,diane.white@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Emma Moore,Pain Management,(301) 555-1384,emma.moore@hospital.com,Howard University Hospital,Washington D.C.,abcd
Robert Allen,Gastroenterology,(571) 555-4811,robert.allen@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Christopher Walker,Surgery,(703) 555-7137,christopher.walker@hospital.com,University of Maryland Medical Center,Maryland,abcd
Carol Williams,Surgery,(240) 555-2819,carol.williams@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Mark Wright,Cardiovascular / Pulmonary,(301) 555-0805,mark.wright@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Kenneth Smith,Dermatology,(703) 555-4738,kenneth.smith@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Jessica Baker,Radiology,(240) 555-6799,jessica.baker@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Matthew Thomas,Office Notes,(703) 555-9120,matthew.thomas@hospital.com,University of Maryland Medical Center,Maryland,abcd
Deborah Roberts,Discharge Summary,(301) 555-3920,deborah.roberts@hospital.com,Children's National Hospital,Washington D.C.,abcd
Maria Miller,Surgery,(571) 555-5925,maria.miller@hospital.com,Howard University Hospital,Washington D.C.,abcd
Jennifer Perez,Gastroenterology,(240) 555-0190,jennifer.perez@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Thomas Jones,Surgery,(202) 555-1035,thomas.jones@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Carol Harris,SOAP / Chart / Progress Notes,(571) 555-4821,carol.harris@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Janet Williams,Podiatry,(571) 555-9848,janet.williams@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Ruth Thompson,Cardiovascular / Pulmonary,(571) 555-2780,ruth.thompson@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Cynthia Perez,Radiology,(703) 555-8758,cynthia.perez@hospital.com,Howard University Hospital,Washington D.C.,abcd
Betty Young,Orthopedic,(301) 555-4868,betty.young@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Paul Torres,Consult - History and Phy.,(301) 555-0821,paul.torres@hospital.com,Virginia Hospital Center,Virginia,abcd
Thomas Hill,Ophthalmology,(703) 555-0546,thomas.hill@hospital.com,Howard University Hospital,Washington D.C.,abcd
Sharon Taylor,Cardiovascular / Pulmonary,(301) 555-6964,sharon.taylor@hospital.com,Children's National Hospital,Washington D.C.,abcd
Rachel Lewis,Cosmetic / Plastic Surgery,(703) 555-2590,rachel.lewis@hospital.com,Howard University Hospital,Washington D.C.,abcd
Jessica Anderson,Cardiovascular / Pulmonary,(202) 555-5421,jessica.anderson@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Steven Thomas,Surgery,(301) 555-5005,steven.thomas@hospital.com,Children's National Hospital,Washington D.C.,abcd
Donald Lopez,Cardiovascular / Pulmonary,(202) 555-7109,donald.lopez@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Helen Lee,SOAP / Chart / Progress Notes,(571) 555-4371,helen.lee@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Rachel Wright,Ophthalmology,(571) 555-8737,rachel.wright@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Diane Sanchez,Consult - History and Phy.,(703) 555-2904,diane.sanchez@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Steven Carter,Cardiovascular / Pulmonary,(571) 555-4133,steven.carter@hospital.com,Virginia Hospital Center,Virginia,abcd
Cynthia Phillips,Surgery,(301) 555-4044,cynthia.phillips@hospital.com,Howard University Hospital,Washington D.C.,abcd
Emma Baker,Neurology,(571) 555-3745,emma.baker@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Kenneth Johnson,Consult - History and Phy.,(571) 555-3285,kenneth.johnson@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Patricia Baker,Surgery,(240) 555-1819,patricia.baker@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Timothy Garcia,Radiology,(703) 555-7236,timothy.garcia@hospital.com,Virginia Hospital Center,Virginia,abcd
Christopher Anderson,General Medicine,(571) 555-6928,christopher.anderson@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Diane Adams,Consult - History and Phy.,(301) 555-8056,diane.adams@hospital.com,Children's National Hospital,Washington D.C.,abcd
Emma Clark,Cardiovascular / Pulmonary,(301) 555-6028,emma.clark@hospital.com,Children's National Hospital,Washington D.C.,abcd
Christine Adams,ENT - Otolaryngology,(301) 555-8620,christine.adams@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Rachel Harris,Nephrology,(301) 555-1087,rachel.harris@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Donald Mitchell,Surgery,(301) 555-1278,donald.mitchell@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Christopher Roberts,Cardiovascular / Pulmonary,(240) 555-4278,christopher.roberts@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Ruth Allen,General Medicine,(571) 555-5680,ruth.allen@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Matthew Sanchez,Surgery,(571) 555-3281,matthew.sanchez@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Jessica Wilson,Surgery,(240) 555-8302,jessica.wilson@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Mark Martin,Orthopedic,(202) 555-9224,mark.martin@hospital.com,Virginia Hospital Center,Virginia,abcd
Betty Hernandez,ENT - Otolaryngology,(703) 555-2946,betty.hernandez@hospital.com,Virginia Hospital Center,Virginia,abcd
Ruth Turner,Surgery,(202) 555-8094,ruth.turner@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Susan Hill,Cardiovascular / Pulmonary,(301) 555-9589,susan.hill@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Nancy Walker,Orthopedic,(571) 555-1964,nancy.walker@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Gregory Turner,Consult - History and Phy.,(240) 555-5210,gregory.turner@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Kenneth King,Radiology,(240) 555-4360,kenneth.king@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Nancy Robinson,Orthopedic,(571) 555-6411,nancy.robinson@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Diane Walker,Neurology,(301) 555-0737,diane.walker@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
David Thomas,Gastroenterology,(571) 555-0988,david.thomas@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Christine Campbell,Surgery,(571) 555-6443,christine.campbell@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Mary Adams,Podiatry,(703) 555-9348,mary.adams@hospital.com,Virginia Hospital Center,Virginia,abcd
Brian King,SOAP / Chart / Progress Notes,(703) 555-1176,brian.king@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Susan Mitchell,Gastroenterology,(703) 555-4571,susan.mitchell@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Edward Brown,SOAP / Chart / Progress Notes,(301) 555-2929,edward.brown@hospital.com,Howard University Hospital,Washington D.C.,abcd
Jennifer Anderson,Orthopedic,(703) 555-4932,jennifer.anderson@hospital.com,Inova Fairfax Hospital,Virginia,abcd
James Davis,Hematology - Oncology,(703) 555-7470,james.davis@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Patricia Davis,Surgery,(703) 555-8141,patricia.davis@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Donald Wright,Consult - History and Phy.,(703) 555-5667,donald.wright@hospital.com,Johns Hopkins Hospital,Maryland,abcd
David King,Orthopedic,(240) 555-8845,david.king@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Kenneth Green,Surgery,(703) 555-5662,kenneth.green@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Timothy Harris,ENT - Otolaryngology,(240) 555-9053,timothy.harris@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Thomas Miller,Hematology - Oncology,(202) 555-2508,thomas.miller@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Sandra Johnson,ENT - Otolaryngology,(703) 555-3579,sandra.johnson@hospital.com,University of Maryland Medical Center,Maryland,abcd
Jennifer Thomas,ENT - Otolaryngology,(301) 555-0231,jennifer.thomas@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Mary Turner,Cardiovascular / Pulmonary,(240) 555-6888,mary.turner@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
James Lewis,Cardiovascular / Pulmonary,(703) 555-4805,james.lewis@hospital.com,Howard University Hospital,Washington D.C.,abcd
Anthony White,Gastroenterology,(571) 555-3652,anthony.white@hospital.com,Johns Hopkins Hospital,Maryland,abcd
George White,Neurosurgery,(571) 555-0185,george.white@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Janet Lewis,Surgery,(571) 555-6004,janet.lewis@hospital.com,Virginia Hospital Center,Virginia,abcd
James Jones,Gastroenterology,(240) 555-5008,james.jones@hospital.com,Children's National Hospital,Washington D.C.,abcd
Sharon Wilson,Gastroenterology,(703) 555-9528,sharon.wilson@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Sharon Scott,SOAP / Chart / Progress Notes,(202) 555-8533,sharon.scott@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Michael Harris,Surgery,(571) 555-1590,michael.harris@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Rachel Torres,Cosmetic / Plastic Surgery,(202) 555-4041,rachel.torres@hospital.com,Howard University Hospital,Washington D.C.,abcd
Susan Sanchez,Hematology - Oncology,(571) 555-6574,susan.sanchez@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Paul Johnson,Surgery,(301) 555-5288,paul.johnson@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Anthony Martinez,Surgery,(301) 555-1943,anthony.martinez@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Patricia Wright,Radiology,(301) 555-5250,patricia.wright@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Anthony Harris,Surgery,(240) 555-4496,anthony.harris@hospital.com,Children's National Hospital,Washington D.C.,abcd
Diane Walker,Surgery,(703) 555-6614,diane.walker@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Sarah Clark,Surgery,(703) 555-4400,sarah.clark@hospital.com,University of Maryland Medical Center,Maryland,abcd
Julie Wright,Surgery,(703) 555-4330,julie.wright@hospital.com,Howard University Hospital,Washington D.C.,abcd
Thomas Garcia,Neurology,(571) 555-1082,thomas.garcia@hospital.com,Children's National Hospital,Washington D.C.,abcd
Helen Garcia,Cardiovascular / Pulmonary,(571) 555-6586,helen.garcia@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Deborah Martin,Nephrology,(301) 555-0300,deborah.martin@hospital.com,Children's National Hospital,Washington D.C.,abcd
Janet King,Pain Management,(703) 555-1762,janet.king@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Timothy Hill,Gastroenterology,(571) 555-2382,timothy.hill@hospital.com,Howard University Hospital,Washington D.C.,abcd
Rachel Torres,Radiology,(571) 555-4755,rachel.torres@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Kenneth Scott,Radiology,(202) 555-2891,kenneth.scott@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Janet Evans,Surgery,(571) 555-7864,janet.evans@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Carol Martinez,General Medicine,(240) 555-2930,carol.martinez@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Sharon Turner,Consult - History and Phy.,(240) 555-9727,sharon.turner@hospital.com,Virginia Hospital Center,Virginia,abcd
Gregory Moore,SOAP / Chart / Progress Notes,(301) 555-5143,gregory.moore@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Michael Lopez,Gastroenterology,(301) 555-9932,michael.lopez@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Christine Johnson,Pain Management,(703) 555-7090,christine.johnson@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Brian Taylor,Gastroenterology,(202) 555-1522,brian.taylor@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Christopher Johnson,Orthopedic,(301) 555-3064,christopher.johnson@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Karen Sanchez,SOAP / Chart / Progress Notes,(571) 555-7446,karen.sanchez@hospital.com,Children's National Hospital,Washington D.C.,abcd
Patricia Moore,Surgery,(301) 555-0814,patricia.moore@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Jessica Campbell,Radiology,(571) 555-5983,jessica.campbell@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Mary Lewis,Surgery,(703) 555-8482,mary.lewis@hospital.com,Howard University Hospital,Washington D.C.,abcd
Janet Lewis,Podiatry,(240) 555-3728,janet.lewis@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Christine Wright,Gastroenterology,(703) 555-6382,christine.wright@hospital.com,Virginia Hospital Center,Virginia,abcd
Lisa Hall,General Medicine,(240) 555-5374,lisa.hall@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Matthew Davis,ENT - Otolaryngology,(571) 555-8691,matthew.davis@hospital.com,University of Maryland Medical Center,Maryland,abcd
Linda Anderson,Consult - History and Phy.,(301) 555-5612,linda.anderson@hospital.com,Children's National Hospital,Washington D.C.,abcd
Robert Thompson,Neurology,(571) 555-9082,robert.thompson@hospital.com,Howard University Hospital,Washington D.C.,abcd
Barbara Rodriguez,Nephrology,(301) 555-1310,barbara.rodriguez@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Gregory Lee,Surgery,(571) 555-7303,gregory.lee@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Steven White,Pain Management,(301) 555-7252,steven.white@hospital.com,Virginia Hospital Center,Virginia,abcd
Kevin Hall,Radiology,(240) 555-6472,kevin.hall@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
George Moore,Cosmetic / Plastic Surgery,(240) 555-7087,george.moore@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Patricia Hall,Surgery,(301) 555-4022,patricia.hall@hospital.com,University of Maryland Medical Center,Maryland,abcd
Diane Gonzalez,Consult - History and Phy.,(703) 555-2064,diane.gonzalez@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Anthony Phillips,Surgery,(240) 555-0568,anthony.phillips@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Rachel Thompson,Neurology,(301) 555-0222,rachel.thompson@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Thomas Martinez,ENT - Otolaryngology,(202) 555-0683,thomas.martinez@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Mary Lewis,Surgery,(301) 555-8019,mary.lewis@hospital.com,Howard University Hospital,Washington D.C.,abcd
Nancy White,Radiology,(202) 555-8473,nancy.white@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Anthony Robinson,Dermatology,(301) 555-4745,anthony.robinson@hospital.com,Virginia Hospital Center,Virginia,abcd
Deborah Taylor,Consult - History and Phy.,(571) 555-8580,deborah.taylor@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Susan Green,Radiology,(301) 555-3893,susan.green@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Linda Smith,Surgery,(703) 555-0035,linda.smith@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Daniel Wright,ENT - Otolaryngology,(240) 555-8730,daniel.wright@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Donald Hall,Hematology - Oncology,(301) 555-4492,donald.hall@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Michael Turner,Surgery,(240) 555-6883,michael.turner@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Linda Clark,Consult - History and Phy.,(240) 555-6404,linda.clark@hospital.com,Howard University Hospital,Washington D.C.,abcd
David Davis,Consult - History and Phy.,(240) 555-7512,david.davis@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Susan Williams,Radiology,(301) 555-9527,susan.williams@hospital.com,Virginia Hospital Center,Virginia,abcd
Diane Mitchell,Cardiovascular / Pulmonary,(703) 555-9878,diane.mitchell@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Mark Moore,Surgery,(202) 555-8183,mark.moore@hospital.com,Johns Hopkins Hospital,Maryland,abcd
David Adams,Neurology,(301) 555-4811,david.adams@hospital.com,University of Maryland Medical Center,Maryland,abcd
Emma Green,Surgery,(301) 555-7345,emma.green@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Steven Thomas,General Medicine,(571) 555-3640,steven.thomas@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Barbara Green,Gastroenterology,(240) 555-1872,barbara.green@hospital.com,Children's National Hospital,Washington D.C.,abcd
Christopher Lopez,Surgery,(703) 555-6005,christopher.lopez@hospital.com,Virginia Hospital Center,Virginia,abcd
Deborah Moore,Hematology - Oncology,(301) 555-6261,deborah.moore@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Jennifer Thomas,Orthopedic,(240) 555-7077,jennifer.thomas@hospital.com,University of Maryland Medical Center,Maryland,abcd
Gregory Allen,Orthopedic,(571) 555-0078,gregory.allen@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Sandra Roberts,Office Notes,(240) 555-2309,sandra.roberts@hospital.com,Children's National Hospital,Washington D.C.,abcd
Daniel Green,Surgery,(240) 555-2832,daniel.green@hospital.com,Howard University Hospital,Washington D.C.,abcd
Jennifer Ramirez,SOAP / Chart / Progress Notes,(240) 555-4416,jennifer.ramirez@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Linda Carter,Neurology,(571) 555-2635,linda.carter@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Andrew Carter,Ophthalmology,(301) 555-9844,andrew.carter@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Jessica Martinez,Neurosurgery,(571) 555-4381,jessica.martinez@hospital.com,Children's National Hospital,Washington D.C.,abcd
Donald Harris,Orthopedic,(571) 555-0086,donald.harris@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Christopher Walker,Cardiovascular / Pulmonary,(301) 555-5767,christopher.walker@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Christopher Miller,General Medicine,(703) 555-6450,christopher.miller@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Emma Miller,Neurology,(301) 555-6351,emma.miller@hospital.com,Children's National Hospital,Washington D.C.,abcd
Mark Hernandez,Surgery,(703) 555-5289,mark.hernandez@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Lisa Hill,Cardiovascular / Pulmonary,(703) 555-4766,lisa.hill@hospital.com,Howard University Hospital,Washington D.C.,abcd
Christine Rodriguez,Autopsy,(703) 555-8469,christine.rodriguez@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Jessica Harris,Radiology,(240) 555-1354,jessica.harris@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Mary Ramirez,Radiology,(703) 555-8123,mary.ramirez@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Daniel Martinez,Surgery,(703) 555-8544,daniel.martinez@hospital.com,University of Maryland Medical Center,Maryland,abcd
James Carter,Cardiovascular / Pulmonary,(703) 555-0111,james.carter@hospital.com,Howard University Hospital,Washington D.C.,abcd
Paul Hernandez,Orthopedic,(240) 555-1809,paul.hernandez@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Janet Martinez,Sleep Medicine,(571) 555-8458,janet.martinez@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Michael Davis,Radiology,(301) 555-8518,michael.davis@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Daniel Roberts,SOAP / Chart / Progress Notes,(571) 555-2268,daniel.roberts@hospital.com,National Rehabilitation Hospital,Washington D.C.,abcd
Lisa Thompson,Nephrology,(240) 555-1076,lisa.thompson@hospital.com,Children's National Hospital,Washington D.C.,abcd
George Carter,Orthopedic,(240) 555-6319,george.carter@hospital.com,MedStar Georgetown University Hospital,Washington D.C.,abcd
Thomas Jackson,Cardiovascular / Pulmonary,(301) 555-6506,thomas.jackson@hospital.com,Children's National Hospital,Washington D.C.,abcd
Sarah Anderson,Surgery,(202) 555-3152,sarah.anderson@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Lisa Thompson,Surgery,(703) 555-7209,lisa.thompson@hospital.com,Children's National Hospital,Washington D.C.,abcd
Deborah Sanchez,Discharge Summary,(301) 555-5154,deborah.sanchez@hospital.com,Virginia Hospital Center,Virginia,abcd
Daniel Baker,General Medicine,(240) 555-2219,daniel.baker@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Robert Clark,Consult - History and Phy.,(571) 555-7737,robert.clark@hospital.com,Children's National Hospital,Washington D.C.,abcd
Carol Lewis,Neurology,(703) 555-7569,carol.lewis@hospital.com,Johns Hopkins Hospital,Maryland,abcd
David Campbell,Surgery,(240) 555-4609,david.campbell@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Karen Moore,Surgery,(240) 555-9264,karen.moore@hospital.com,Children's National Hospital,Washington D.C.,abcd
Julie Nelson,Ophthalmology,(703) 555-7458,julie.nelson@hospital.com,Virginia Hospital Center,Virginia,abcd
Timothy Lee,Radiology,(240) 555-6464,timothy.lee@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
Emma Baker,Consult - History and Phy.,(240) 555-3179,emma.baker@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Thomas Hall,Cardiovascular / Pulmonary,(301) 555-0645,thomas.hall@hospital.com,University of Maryland Medical Center,Maryland,abcd
Mary Baker,Consult - History and Phy.,(703) 555-9172,mary.baker@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Christine Martin,Surgery,(240) 555-5281,christine.martin@hospital.com,University of Maryland Medical Center,Maryland,abcd
Gregory Campbell,Orthopedic,(301) 555-6777,gregory.campbell@hospital.com,Children's National Hospital,Washington D.C.,abcd
Matthew Green,Surgery,(703) 555-6952,matthew.green@hospital.com,Children's National Hospital,Washington D.C.,abcd
Nancy Evans,Consult - History and Phy.,(240) 555-4009,nancy.evans@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Kenneth Nelson,Orthopedic,(301) 555-6978,kenneth.nelson@hospital.com,Psychiatric Institute of Washington,Washington D.C.,abcd
Emma Moore,Consult - History and Phy.,(301) 555-2660,emma.moore@hospital.com,George Washington University Hospital,Washington D.C.,abcd
Diane Carter,Surgery,(703) 555-4206,diane.carter@hospital.com,George Washington University Hospital,Washington D.C.,abcd
James Perez,Surgery,(240) 555-8739,james.perez@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Susan Lewis,Consult - History and Phy.,(202) 555-9611,susan.lewis@hospital.com,University of Maryland Medical Center,Maryland,abcd
Cynthia Green,General Medicine,(301) 555-9255,cynthia.green@hospital.com,Johns Hopkins Hospital,Maryland,abcd
Gregory Williams,General Medicine,(571) 555-2492,gregory.williams@hospital.com,Inova Fairfax Hospital,Virginia,abcd
Gregory Young,Surgery,(571) 555-8932,gregory.young@hospital.com,MedStar Washington Hospital Center,Washington D.C.,abcd
